1,Panthers,13,11,1,1,0,332,182,150,23
2,Storm,13,11,0,2,0,350,162,188,22
3,Eels,13,11,0,2,0,286,162,124,22
4,Roosters,13,9,0,4,0,348,174,174,18
5,Raiders,13,8,0,5,0,232,205,27,16
6,Knights,13,7,1,5,0,279,208,71,15
7,Rabbitohs,13,7,0,6,0,278,226,52,14
8,Sharks,13,7,0,6,0,332,288,44,14
9,Sea Eagles,13,6,0,7,0,213,261,-48,12
10,Wests Tigers,13,5,0,8,0,285,273,12,10
11,Warriors,13,5,0,8,0,189,320,-131,10
12,Dragons,13,4,0,9,0,248,278,-30,8
13,Titans,13,4,0,9,0,184,337,-153,8
14,Cowboys,13,3,0,10,0,239,343,-104,6
15,Broncos,13,3,0,10,0,178,401,-223,6
16,Bulldogs,13,2,0,11,0,160,313,-153,4
