1,Eels,4,4,0,0,0,107,30,77,8
2,Knights,4,3,1,0,0,110,56,54,7
3,Panthers,4,3,1,0,0,92,56,36,7
4,Raiders,4,3,0,1,0,84,52,32,6
5,Storm,4,3,0,1,0,58,44,14,6
6,Roosters,4,2,0,2,0,109,41,68,4
7,Cowboys,4,2,0,2,0,97,76,21,4
8,Sea Eagles,4,2,0,2,0,61,51,10,4
9,Wests Tigers,4,2,0,2,0,99,100,-1,4
10,Broncos,4,2,0,2,0,56,132,-76,4
11,Sharks,4,1,0,3,0,70,78,-8,2
12,Bulldogs,4,1,0,3,0,46,66,-20,2
13,Rabbitohs,4,1,0,3,0,60,90,-30,2
14,Warriors,4,1,0,3,0,24,66,-42,2
15,Titans,4,1,0,3,0,46,129,-83,2
16,Dragons,4,0,0,4,0,44,96,-52,0
