1,Eels,7,6,0,1,0,158,88,70,12
2,Panthers,7,5,1,1,0,143,98,45,11
3,Roosters,7,5,0,2,0,201,69,132,10
4,Storm,7,5,0,2,0,148,83,65,10
5,Knights,7,4,1,2,0,169,120,49,9
6,Wests Tigers,7,4,0,3,0,175,140,35,8
7,Raiders,7,4,0,3,0,128,97,31,8
8,Sea Eagles,7,4,0,3,0,117,115,2,8
9,Rabbitohs,7,3,0,4,0,144,134,10,6
10,Cowboys,7,3,0,4,0,175,169,6,6
11,Sharks,7,3,0,4,0,146,148,-2,6
12,Dragons,7,2,0,5,0,106,146,-40,4
13,Titans,7,2,0,5,0,96,193,-97,4
14,Warriors,7,2,0,5,0,79,182,-103,4
15,Broncos,7,2,0,5,0,92,209,-117,4
16,Bulldogs,7,1,0,6,0,76,162,-86,2
