1,Panthers,11,9,1,1,0,262,158,104,19
2,Storm,11,9,0,2,0,283,136,147,18
3,Eels,11,9,0,2,0,254,134,120,18
4,Roosters,11,7,0,4,0,306,146,160,14
5,Raiders,11,7,0,4,0,206,165,41,14
6,Knights,11,6,1,4,0,219,178,41,13
7,Sharks,11,6,0,5,0,284,248,36,12
8,Sea Eagles,11,6,0,5,0,179,193,-14,12
9,Wests Tigers,11,5,0,6,0,261,203,58,10
10,Rabbitohs,11,5,0,6,0,218,192,26,10
11,Dragons,11,4,0,7,0,208,222,-14,8
12,Cowboys,11,3,0,8,0,217,299,-82,6
13,Warriors,11,3,0,8,0,137,278,-141,6
14,Titans,11,3,0,8,0,142,309,-167,6
15,Broncos,11,3,0,8,0,142,337,-195,6
16,Bulldogs,11,2,0,9,0,134,254,-120,4
