1,Eels,9,8,0,1,0,210,96,114,16
2,Panthers,9,7,1,1,0,218,134,84,15
3,Storm,9,7,0,2,0,195,122,73,14
4,Roosters,9,6,0,3,0,268,112,156,12
5,Knights,9,5,1,3,0,187,142,45,11
6,Rabbitohs,9,5,0,4,0,188,154,34,10
7,Raiders,9,5,0,4,0,164,133,31,10
8,Wests Tigers,9,4,0,5,0,197,177,20,8
9,Sharks,9,4,0,5,0,210,214,-4,8
10,Sea Eagles,9,4,0,5,0,133,163,-30,8
11,Dragons,9,3,0,6,0,156,172,-16,6
12,Cowboys,9,3,0,6,0,195,253,-58,6
13,Warriors,9,3,0,6,0,117,214,-97,6
14,Broncos,9,3,0,6,0,134,243,-109,6
15,Titans,9,3,0,6,0,122,245,-123,6
16,Bulldogs,9,1,0,8,0,94,214,-120,2
