1,Eels,3,3,0,0,0,88,14,74,6
2,Raiders,3,3,0,0,0,66,18,48,6
3,Knights,3,2,1,0,0,76,38,38,5
4,Panthers,3,2,1,0,0,66,56,10,5
5,Cowboys,3,2,0,1,0,81,50,31,4
6,Sea Eagles,3,2,0,1,0,45,32,13,4
7,Wests Tigers,3,2,0,1,0,76,72,4,4
8,Storm,3,2,0,1,0,36,36,0,4
9,Broncos,3,2,0,1,0,56,73,-17,4
10,Roosters,3,1,0,2,0,50,41,9,2
11,Warriors,3,1,0,2,0,24,40,-16,2
12,Rabbitohs,3,1,0,2,0,52,68,-16,2
13,Sharks,3,0,0,3,0,44,62,-18,0
14,Dragons,3,0,0,3,0,42,74,-32,0
15,Bulldogs,3,0,0,3,0,24,64,-40,0
16,Titans,3,0,0,3,0,18,106,-88,0
