1,Panthers,18,16,1,1,0,463,226,237,33
2,Storm,18,15,0,3,0,462,224,238,30
3,Roosters,18,13,0,5,0,510,244,266,26
4,Eels,18,13,0,5,0,338,252,86,26
5,Raiders,18,12,0,6,0,381,275,106,24
6,Rabbitohs,18,11,0,7,0,445,318,127,22
7,Knights,18,10,1,7,0,373,320,53,21
8,Sharks,18,10,0,8,0,434,408,26,20
9,Wests Tigers,18,7,0,11,0,394,427,-33,14
10,Sea Eagles,18,7,0,11,0,323,427,-104,14
11,Warriors,18,7,0,11,0,289,404,-115,14
12,Titans,18,7,0,11,0,268,433,-165,14
13,Dragons,18,6,0,12,0,330,388,-58,12
14,Cowboys,18,4,0,14,0,324,472,-148,8
15,Broncos,18,3,0,15,0,240,566,-326,6
16,Bulldogs,18,2,0,16,0,256,446,-190,4
