1,Panthers,16,14,1,1,0,418,212,206,29
2,Storm,16,13,0,3,0,404,188,216,26
3,Eels,16,12,0,4,0,312,214,98,24
4,Roosters,16,11,0,5,0,450,226,224,22
5,Raiders,16,11,0,5,0,338,249,89,22
6,Rabbitohs,16,10,0,6,0,403,272,131,20
7,Knights,16,9,1,6,0,323,268,55,19
8,Sharks,16,9,0,7,0,402,356,46,18
9,Warriors,16,7,0,9,0,257,358,-101,14
10,Dragons,16,6,0,10,0,300,328,-28,12
11,Wests Tigers,16,6,0,10,0,336,369,-33,12
12,Sea Eagles,16,6,0,10,0,259,373,-114,12
13,Titans,16,5,0,11,0,232,413,-181,10
14,Cowboys,16,3,0,13,0,281,414,-133,6
15,Broncos,16,3,0,13,0,222,523,-301,6
16,Bulldogs,16,2,0,14,0,222,396,-174,4
