1,Eels,5,5,0,0,0,123,40,83,10
2,Raiders,5,4,0,1,0,98,58,40,8
3,Storm,5,4,0,1,0,84,56,28,8
4,Knights,5,3,1,1,0,122,82,40,7
5,Panthers,5,3,1,1,0,102,72,30,7
6,Roosters,5,3,0,2,0,151,47,104,6
7,Sea Eagles,5,3,0,2,0,81,69,12,6
8,Cowboys,5,2,0,3,0,123,113,10,4
9,Wests Tigers,5,2,0,3,0,105,114,-9,4
10,Rabbitohs,5,2,0,3,0,92,102,-10,4
11,Warriors,5,2,0,3,0,61,92,-31,4
12,Broncos,5,2,0,3,0,74,152,-78,4
13,Sharks,5,1,0,4,0,86,108,-22,2
14,Dragons,5,1,0,4,0,74,112,-38,2
15,Bulldogs,5,1,0,4,0,52,108,-56,2
16,Titans,5,1,0,4,0,58,161,-103,2
