1,Eels,8,7,0,1,0,200,92,108,14
2,Panthers,8,6,1,1,0,162,110,52,13
3,Storm,8,6,0,2,0,175,108,67,12
4,Knights,8,5,1,2,0,183,132,51,11
5,Roosters,8,5,0,3,0,226,96,130,10
6,Raiders,8,5,0,3,0,150,113,37,10
7,Sharks,8,4,0,4,0,186,158,28,8
8,Wests Tigers,8,4,0,4,0,187,159,28,8
9,Rabbitohs,8,4,0,4,0,170,144,26,8
10,Sea Eagles,8,4,0,4,0,129,129,0,8
11,Cowboys,8,3,0,5,0,179,211,-32,6
12,Warriors,8,3,0,5,0,105,198,-93,6
13,Dragons,8,2,0,6,0,122,168,-46,4
14,Titans,8,2,0,6,0,106,233,-127,4
15,Broncos,8,2,0,6,0,108,235,-127,4
16,Bulldogs,8,1,0,7,0,86,188,-102,2
