1,Panthers,12,10,1,1,0,304,170,134,21
2,Storm,12,10,0,2,0,309,152,157,20
3,Eels,12,10,0,2,0,272,150,122,20
4,Roosters,12,8,0,4,0,324,158,166,16
5,Raiders,12,8,0,4,0,220,177,43,16
6,Sharks,12,7,0,5,0,320,274,46,14
7,Knights,12,6,1,5,0,235,204,31,13
8,Rabbitohs,12,6,0,6,0,250,216,34,12
9,Sea Eagles,12,6,0,6,0,191,235,-44,12
10,Wests Tigers,12,5,0,7,0,281,229,52,10
11,Dragons,12,4,0,8,0,232,254,-22,8
12,Warriors,12,4,0,8,0,163,298,-135,8
13,Cowboys,12,3,0,9,0,229,313,-84,6
14,Titans,12,3,0,9,0,154,327,-173,6
15,Broncos,12,3,0,9,0,168,373,-205,6
16,Bulldogs,12,2,0,10,0,150,272,-122,4
