1,Panthers,17,15,1,1,0,443,224,219,31
2,Storm,17,14,0,3,0,426,204,222,28
3,Eels,17,13,0,4,0,336,232,104,26
4,Roosters,17,12,0,5,0,468,232,236,24
5,Raiders,17,11,0,6,0,344,267,77,22
6,Knights,17,10,1,6,0,361,278,83,21
7,Rabbitohs,17,10,0,7,0,419,294,125,20
8,Sharks,17,9,0,8,0,412,394,18,18
9,Wests Tigers,17,7,0,10,0,370,401,-31,14
10,Warriors,17,7,0,10,0,275,382,-107,14
11,Dragons,17,6,0,11,0,322,351,-29,12
12,Sea Eagles,17,6,0,11,0,291,407,-116,12
13,Titans,17,6,0,11,0,250,427,-177,12
14,Cowboys,17,4,0,13,0,304,436,-132,8
15,Broncos,17,3,0,14,0,234,548,-314,6
16,Bulldogs,17,2,0,15,0,236,414,-178,4
