1,Panthers,15,13,1,1,0,388,206,182,27
2,Storm,15,12,0,3,0,374,182,192,24
3,Eels,15,12,0,3,0,312,176,136,24
4,Roosters,15,10,0,5,0,392,214,178,20
5,Raiders,15,10,0,5,0,304,229,75,20
6,Knights,15,9,1,5,0,317,232,85,19
7,Rabbitohs,15,9,0,6,0,365,272,93,18
8,Sharks,15,8,0,7,0,374,344,30,16
9,Wests Tigers,15,6,0,9,0,330,339,-9,12
10,Dragons,15,6,0,9,0,290,314,-24,12
11,Sea Eagles,15,6,0,9,0,253,343,-90,12
12,Warriors,15,6,0,9,0,221,352,-131,12
13,Titans,15,4,0,11,0,218,403,-185,8
14,Cowboys,15,3,0,12,0,269,386,-117,6
15,Broncos,15,3,0,12,0,210,465,-255,6
16,Bulldogs,15,2,0,13,0,202,362,-160,4
