1,Panthers,14,12,1,1,0,350,194,156,25
2,Storm,14,12,0,2,0,374,168,206,24
3,Eels,14,11,0,3,0,298,176,122,22
4,Roosters,14,9,0,5,0,354,198,156,18
5,Raiders,14,9,0,5,0,268,213,55,18
6,Knights,14,8,1,5,0,305,232,73,17
7,Sharks,14,8,0,6,0,362,306,56,16
8,Rabbitohs,14,8,0,6,0,309,256,53,16
9,Wests Tigers,14,6,0,8,0,314,301,13,12
10,Sea Eagles,14,6,0,8,0,237,287,-50,12
11,Dragons,14,5,0,9,0,262,290,-28,10
12,Warriors,14,5,0,9,0,201,338,-137,10
13,Titans,14,4,0,10,0,202,367,-165,8
14,Cowboys,14,3,0,11,0,269,374,-105,6
15,Broncos,14,3,0,11,0,186,437,-251,6
16,Bulldogs,14,2,0,12,0,188,342,-154,4
